Key,Name,Tags,Ideas
google/gsoc2014/melange,Melange,"appengine, python, javascript, CSS, LESS, HTML",https://code.google.com/p/soc/wiki/GSoC2014Ideas
google/gsoc2014/aerospaceresearchnet,AerospaceResearch.Net,"space, aviation, citizen science, distributed computing, high performance computing, research, sensor grid, engineering, satellite tracking, ground station network, java, c, python",http://aerospaceresearch.net/constellation/forum_thread.php?id=271
google/gsoc2014/apache,Apache Software Foundation,"c, java, python, c++, perl, opensource, apache, erlang",http://s.apache.org/gsoc2014ideas
google/gsoc2014/apertium,Apertium,"mt, nlp, linguistics, grammar, c, c++, python, java, xml, morphology",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code
google/gsoc2014/appleseed,appleseed,"appleseed, physically-based, renderer, rendering, production rendering, visual effects, maths, c++, git, github, code optimization, high performance computing",https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas
google/gsoc2014/arches,Arches Project,heritage archaeology inventory,http://archesproject.org/ideas/
google/gsoc2014/bbauv1,BumbleBee Autonomous Underwater Vehicle (BBAUV),"Autonomous, Computer vision, laser, Python, OpenCV, C/C++, ROS, ",http://www.bbauv.com/bbauv-ideas-list-for-google-summer-of-code/
google/gsoc2014/beagle,BeagleBoard.org,"linux, kernel, physical computing, robotics, art, python, node.js, embedded, arm, javascript, rtos, android",http://elinux.org/BeagleBoard/GSoC/Ideas
google/gsoc2014/beamcommunity,BEAM Community,"erlang, elixir, erlang vm, actors, ejabberd, disco, xmpp, distributed",https://github.com/beamcommunity/beamcommunity.github.com/wiki
google/gsoc2014/benetech,Benetech,"a11y, accessibility, education, literacy, human rights, environment",https://github.com/benetech/svgtex/wiki/Ideas-for-GSoC-2014
google/gsoc2014/bio4j,bio4j,"graph databases, Titan, Neo4j, Scala, Java, git, github, bioinformatics, biology, data, big data, genomics, cloud computing, aws",https://github.com/bio4j/gsoc14/wiki/ideas
google/gsoc2014/biojs,BioJavaScript,"JavaScript, bioinformatics, web development, standard, library, registry",https://rostlab.org/services/biojs/gsoc.html
google/gsoc2014/blender,Blender Foundation,"3D, computer graphics, modeling, animation, rendering, compositing, game creation, video editing, artist tools, simulation, visualization, C, C++, Python, OpenGL, OpenCL, Cuda, Sound, Audio, Music",http://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2014/Ideas
google/gsoc2014/bmi_cci,"Biomedical Informatics, Emory University","biomedical, healthcare, clinical, imaging, informatics, dicom, cloud, nosql, neo4j, big data, data mining, web services, map reduce, hadoop, javascript, java, databases",https://docs.imphub.org/display/PS/Google+Summer+of+Code+-+2014
google/gsoc2014/bookie,Bookie,python javascript bookmarks,https://docs.google.com/document/d/1F51s9_faKf_GraKthtT0mCsQQvu-LMdnLwlliSZ3rJ4/edit?usp=sharing
google/gsoc2014/boostcpp,Boost C++ Libraries,"c++, boost, peer-reviewed, portable, libraries, C++11, C++14, C++0x, C++0y",https://svn.boost.org/trac/boost/wiki/SoC2014
google/gsoc2014/brlcad,BRL-CAD,"computer graphics, scientific computing, engineering analysis, visualization, CAD, CSG, SMP, signal processing, 3d, engine, 3d modeling, benchmark, raytracing, image processing, graphics, framebuffer, geometry conversion, computer vision, computer-aided design, symmetric multiprocessing, geometry, brlcad, ray tracing, constructive solid geometry, analysis, graphics conversion, mesh, solid modeling, web development, high-perforamnce computing, math, science, tcl, c, c++",http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas
google/gsoc2014/buildbot,Buildbot,,http://trac.buildbot.net/wiki/ProjectIdeas
google/gsoc2014/buildmlearn,BuildmLearn,"Qt, C++, Python, Git, Android, Windows Phone, iPhone",https://github.com/BuildmLearn/BuildmLearn-Toolkit/wiki/Google-Summer-of-Code-2014-Ideas
google/gsoc2014/buildroot,Buildroot,,http://elinux.org/Buildroot:GSoC2014Ideas
google/gsoc2014/catrobat,Catrobat (formerly Catroid Project),"Catrobat, Scratch, test driven, children, educational, web interface, Java, Android, agile, selenium, pedagogical, html, music, robotium, web development, Web 2.0, Javascript, js, HTML5, php, animation, kids, programming, ide, unit tests, usability",http://developer.catrobat.org/gsoc_2014_ideas_page
google/gsoc2014/ccextractor,CCExtractor development,"subtitles, closed captions, ccextractor, teletext",http://ccextractor.sourceforge.net/gsoc2014.html
google/gsoc2014/ccm,"Centre for Computational Medicine, SickKids Research Institute, Toronto","computational medicine, big data, visualization, java, javascript, medicine",https://gsoc.ccm.sickkids.ca/
google/gsoc2014/ceph,Ceph,"ceph, inktank, storage, distributed",http://ceph.com/gsoc2014/
google/gsoc2014/cernsft,CERN SFT,,http://sftweb.cern.ch/gsoc14
google/gsoc2014/cgal,The CGAL Project ,"C++, Computational Geometry, Geometry Processing, Voronoi, Meshing, Arrangement, Triangulation",http://www.cgal.org/project_ideas.html
google/gsoc2014/checkstyle,Checkstyle,"java, static code analyse, checkstyle",https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2014-Project-Ideas
google/gsoc2014/civicrm,CiviCRM,"CRM, Drupal, WordPress, Joomla, PHP, sql, mysql, jquery, Symfony, Bootstrap, Popcorn.js, data visualization, geo, geospatial, choropleths, video",http://wiki.civicrm.org/confluence/display/CRM/Google+Summer+of+Code+-+2014
google/gsoc2014/clojure,Clojure,"Clojure, Lisp, Functional Programming",http://dev.clojure.org/display/community/Project+Ideas
google/gsoc2014/codecombat,CodeCombat,"coffeescript, programming, game, learn to code, education, javascript, html5, compilers, physics, algorithms, multiplayer",https://github.com/codecombat/codecombat/wiki/Summer-Project-Ideas-List
google/gsoc2014/codemirror,CodeMirror,"javascript, editor, browser, code, highlighting",https://github.com/marijnh/CodeMirror/wiki/GSOC-2014-Ideas
google/gsoc2014/concord,The Concord Consortium,"education, nonprofit, STEM, science, math, engineering, simulations, modeling, mobile, responsive Web design, JavaScript, Ruby, HTML5, WebGL, Require.js, D3, CoffeeScript, SVG, Vows, Amazon Web Services, Capistrano, SASS, Haml, WebCL, Pixi.js, AgentScript, AgentBasedModeling, git, GitHub, iPad, Android, Tablet, Mobile",http://concord.org/GSoC
google/gsoc2014/conservancy,"Software Freedom Conservancy, Inc.","npo, non-profit, accounting, ledger",http://npoacct.sfconservancy.org/GSoC2014Ideas/
google/gsoc2014/copyleftgames,Copyleft Games,,http://gsoc.copyleftgames.org/
google/gsoc2014/coreboot,coreboot,"firmware, assembler, hardware, drivers, emulator, bios, efi, x86, ARM",http://www.coreboot.org/Project_Ideas
google/gsoc2014/cryptostick,Crypto Stick,"Security, encryption, cryptography, hardware, USB, two-factor authentication, OTP, OATH, OpenPGP, GnuPG",https://www.assembla.com/spaces/cryptostick/wiki/Ideas
google/gsoc2014/crystal,Crystal Space,"3d engine, game engine, c++, opengl, bullet, game logic, cross platform, python, animation, landscape, particles, rendering, simulation, 3d, opengles",http://www.crystalspace3d.org/trac/CS/wiki/SoC%20Ideas
google/gsoc2014/cse_tuwien,Computational Science and Engineering at TU Wien,"CSE, Java, C++, R, XML, Qt, Network Services, Data Encoding, KNX, Geospatial Data Analysis, Vector Graphics, Internet of Things, Embedded Systems, Monitoring System, Database, SQL, Image Viewer, RAW Images, Particle-In-Cell simulator, Formal Proof Compression, Mathematical Logic, GPU Computing, Mathematics, Linear Algebra, BLAS, OpenCL, CUDA, Mesh Generation, Mesh Adaption, Device Simulation, TCAD, Imputation Methods",http://www.iue.tuwien.ac.at/cse/index.php/gsoc/2014.html
google/gsoc2014/dbpediaspotlight,DBpedia & DBpedia Spotlight,"semantic web, entity linking, linked data, knowledge extraction, Wikipedia, Wikidata, machine learning, java, scala, disambiguation, term recognition, nlp",http://wiki.dbpedia.org/gsoc2014/ideas
google/gsoc2014/debian,Debian Project,"os, linux, distributions, web, qa, quality_assurance, shell_scripting, web_development, python, bsd, php, distribution, bash, c, operating_system, database, science, debian, c++, sh, security, continuous_integration",https://wiki.debian.org/SummerOfCode2014/Projects
google/gsoc2014/dhis2,Health Information Systems Programme,"eHealth, mHealth, management information system, health, informatics, Java, maven, Struts, spring, action-research, medical records, GIS, mapping, africa, asia, latin america, ICT4D, testing, webdriver, dialplan, pbx, ivr, android",http://www.dhis2.org/gsoc2014
google/gsoc2014/django,Django Software Foundation,"django, python",https://code.djangoproject.com/wiki/SummerOfCode2014
google/gsoc2014/drmemory,Dr. Memory,"instrumentation, Windows, C, C++, assembly, debugger, program analysis, development tools, runtime systems",http://drmemory.org/projects.html
google/gsoc2014/drupal,Drupal,"PHP, CMS, Database, Drupal 8, Symfony, Web Development, Web Programming, Web Application, Web Framework, SQL, Object Oriented Programming, ",https://groups.drupal.org/node/407793
google/gsoc2014/eclipse,The Eclipse Foundation,"eclipse, java, ide, recommenders, ecf, communication, development, rcp, orion, javascript, c/c++",https://wiki.eclipse.org/Google_Summer_of_Code_2014_Ideas
google/gsoc2014/epfl_scala,Scala Team,scala,http://www.scala-lang.org/gsoc/2014.html
google/gsoc2014/fedora,The Fedora Project ,"linux, kernel, php, C, bashc, ruby, python, rails, buildservices, yum, rpm, distribution, cloud",http://fedoraproject.org/wiki/Summer_coding_ideas_for_2014
google/gsoc2014/flowgrammable,Flowgrammable,,http://flowgrammable.org/gsoc/
google/gsoc2014/fossasia,FOSSASIA,"asia, social change, humanitarian software, linuxasia, localization",http://fossasia.org/gsoc-ideas
google/gsoc2014/freebsd,FreeBSD,"virtualization, hypervisor, os, operating system, bsd, web, compilers, qa, perl, shell_scripting, shell scripting, server, embedded, mips, arm, sparc, sparc64, i386, amd, amd64, x86_64, distribution, c, operating_system, database, pcbsd, freebsd, c++, sh, security, clang, llvm, audit, wireless, wifi, wi-fi, desktop, server, sandbox, kernel",https://wiki.freebsd.org/SummerOfCode2014
google/gsoc2014/freenet,Freenet Project Inc,"freenet, anonymity, p2p, decentralized, java",https://wiki.freenetproject.org/Google_Summer_of_Code/2014
google/gsoc2014/freifunk,Freifunk,"wifi, mesh, community network, openwrt, routing protocols, batman, olsr, local internet",http://wiki.freifunk.net/Ideas
google/gsoc2014/frenetic,Frenetic,"SDN, Software Defined Networking, OCaml, Python, research, networking, engineering, programming languages, functional programming",https://github.com/frenetic-lang/frenetic/wiki/GSoC-2014-Project-Ideas
google/gsoc2014/gambit,Gambit: Software Tools for Game Theory,"C++, python, git, numerical methods",http://www.gambit-project.org/gambit14/ideas.html
google/gsoc2014/ganeti,Ganeti,"Ganeti, Haskell, Python, Xen, Kvm, Virtualization, Cloud, Cluster",http://code.google.com/p/ganeti/wiki/SummerOfCode2014Ideas
google/gsoc2014/ganglia,Ganglia,,https://github.com/ganglia/monitor-core/wiki/GSoC-2014-project-ideas
google/gsoc2014/gcc,GCC - GNU Compiler Collection,"gcc, compiler, c, c++, toolchain, glibc, binutils, gdb",http://gcc.gnu.org/wiki/SummerOfCode
google/gsoc2014/gentoo,Gentoo Foundation,"virtualization, linux, distributions, xml, web, java, gtk, shell_scripting, web_development, xslt, python, web-interface, javascript, bsd, php, ruby, bash, c, operating_system, qt, database, science, c++, sh, security",http://wiki.gentoo.org/index.php?title=Google_Summer_of_Code/2014/Ideas
google/gsoc2014/git,Git,"vcs, c, git",http://git.github.io/SoC-2014-Ideas.html
google/gsoc2014/gnome,GNOME,"application, banshee, boxes, c, clutter, desktop, easytag, game, glib, gnome, gnome-shell, gnu, gobject, gtk, gtk+, gtg, gstreamer, desktop, evolution, javascript, latex, linux, mail, music, python, vala, virtual, wayland",https://wiki.gnome.org/Outreach/SummerOfCode/2014/Ideas
google/gsoc2014/gnss_sdr,GNSS-SDR,"GNSS, Software radio, GPS, Galileo",http://gnss-sdr.org/documentation/google-summer-code-2014-ideas-list
google/gsoc2014/gnu,GNU Project,,http://www.gnu.org/software/soc-projects/ideas-2014.html
google/gsoc2014/gnuradio,GNU Radio,"software defined radio, networks, communication",http://gnuradio.org/redmine/projects/gnuradio/wiki/GSoC
google/gsoc2014/grameenfoundation,Grameen Foundation - MOTECH,"mhealth, mobile, java, maternal_child_health, hiv_aids, tb, ict4d, africa, india",http://www.motechproject.org/contribute/gsoc.html
google/gsoc2014/groovy_project_community,Groovy Community,"groovy, language, jvm, java, framework, library",http://groovy.codehaus.org/GSoc+2014
google/gsoc2014/haiku,Haiku,"c++, operating system, c, ",http://www.haiku-os.org/community/gsoc/2014/ideas
google/gsoc2014/haskell,haskell.org,"non-strict, lazy, functional, programming language",https://ghc.haskell.org/trac/summer-of-code/report/1
google/gsoc2014/helenos,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague","microkernel, multiserver, os, operating system, operating, system, helenos, kernel, ipc, c",http://www.helenos.org/gsoc2014
google/gsoc2014/iai_unihb_gsoc,Institute for Artificial Intelligence,"AI, Robots",https://ai.uni-bremen.de/_media/internal/14-googlesummerofcode.pdf
google/gsoc2014/idi_idrc,Inclusive Design Institute,"accessibility, technology, software, open source, ATutor, Fluid, AChecker, AContent",http://wiki.atutor.ca/display/atutorwiki/Google+Summer+of+Code+2014
google/gsoc2014/illumos,illumos,"illumos, operating system, unix, kernel, dtrace, zfs, openzfs, virtualization, device driver, c, python, c++, solaris",http://wiki.illumos.org/display/illumos/Project+Ideas
google/gsoc2014/incf,International Neuroinformatics Coordinating Facility,"neuroinformatics, neuroscience",http://incf.org/gsoc/2014/proposals
google/gsoc2014/inkscape,Inkscape,"svg, css, vector graphics, geometry, c++, gtk, gtkmm",http://wiki.inkscape.org/wiki/index.php/Google_Summer_Of_Code#Suggested_Ideas
google/gsoc2014/jboss,JBoss Community,,https://community.jboss.org/wiki/GSOC14Ideas
google/gsoc2014/jitsi,Jitsi,"jitsi, audio, video, java, sip, xmpp, rtp, webrtc, javascript, html5",https://jitsi.org/gsoc
google/gsoc2014/jmonkeyengine,jMonkeyEngine,"game engine, 3d, game, game development, graphics, netbeans, IDE, SDK, java",http://hub.jmonkeyengine.org/soc/2014-ideas/
google/gsoc2014/joomla,Joomla! (Open Source Matters),"joomla, framework, php, libraries, packagist, composer, ",http://docs.joomla.org/GSOC_2014_Project_Ideas
google/gsoc2014/julialang,The Julia Language,"programming languages, numerical computing, linear algebra, statistics, machine learning, big data",http://julialang.org/gsoc/2014/
google/gsoc2014/kde,KDE,"accessibility, audio, browser, c++, desktop, education, games, linux, mac, music, office, pim, qt, sdk, semantic, windows",http://community.kde.org/GSoC/2014/Ideas
google/gsoc2014/kolibrios,KolibriOS Project Team,"FASM, assembly language, Assembler, KolibriOS, OS, Operating System, drivers, hardware, BIOS",http://wiki.kolibrios.org/wiki/Google_Summer_of_Code_2014
google/gsoc2014/lablua,LabLua,Lua LabLua,http://www.lua.inf.puc-rio.br/gsoc/ideas2014.html
